source_id,channel_id,channel_name,channel_type,endpoint,radar,editorial_function,verification_status,notes
AEMET-AVISOS-ESPANA-001,AEMET-AVISOS-ESPANA-001-RSS,RSS,RSS,https://www.aemet.es/documentos_d/eltiempo/prediccion/avisos/rss/CAP_AFAC72_RSS.xml,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
GOBIERNO-DE-CANARIAS-001,GOBIERNO-DE-CANARIAS-001-GENERAL,general,RSS,https://www3.gobiernodecanarias.org/noticias/rss,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
AYUNTAMIENTO-DE-ASPE-001,AYUNTAMIENTO-DE-ASPE-001-RSS,RSS,RSS,https://aspe.es/feed/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LA-PROVINCIA-001,LA-PROVINCIA-001-RSS,RSS,RSS,https://www.laprovincia.es/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EL-DIA-001,EL-DIA-001-CANARIAS,(Canarias),RSS,https://www.eldia.es/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
DIARIO-DE-AVISOS-001,DIARIO-DE-AVISOS-001-RSS,RSS,RSS,https://diariodeavisos.elespanol.com/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EL-FARO-DE-MELILLA-001,EL-FARO-DE-MELILLA-001-RSS,RSS,RSS,https://elfarodemelilla.es/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EL-FARO-DE-CEUTA-001,EL-FARO-DE-CEUTA-001-RSS,RSS,RSS,https://elfarodeceuta.es/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LA-OPINION-DE-MALAGA-001,LA-OPINION-DE-MALAGA-001-RSS,RSS,RSS,https://www.laopiniondemalaga.es/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EL-ADELANTADO-DE-SEGOVIA-001,EL-ADELANTADO-DE-SEGOVIA-001-RSS,RSS,RSS,https://www.eladelantado.com/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
DIARIO-DE-MALLORCA-001,DIARIO-DE-MALLORCA-001-RSS,RSS,RSS,https://www.diariodemallorca.es/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
DIARIO-DE-IBIZA-001,DIARIO-DE-IBIZA-001-RSS,RSS,RSS,https://www.diariodeibiza.es/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EL-PERIODICO-DE-ARAGON-001,EL-PERIODICO-DE-ARAGON-001-RSS,RSS,RSS,https://www.elperiodicodearagon.com/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
HERALDO-DE-ARAGON-001,HERALDO-DE-ARAGON-001-RSS,RSS,RSS,https://www.heraldo.es/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
HERALDO-DE-ARAGON-001,HERALDO-DE-ARAGON-001-ECONOMIA,Economía,RSS,https://www.heraldo.es/rss/economia/,NEWS RADAR (ECONOMIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
HERALDO-DE-ARAGON-001,HERALDO-DE-ARAGON-001-SOCIEDAD,Sociedad,RSS,https://www.heraldo.es/rss/sociedad/,NEWS RADAR (SOCIEDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
NACIO-DIGITAL-001,NACIO-DIGITAL-001-RSS,RSS,RSS,https://www.naciodigital.cat/rss/,NEWS RADAR (ACTUALIDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
NACIO-DIGITAL-001,NACIO-DIGITAL-001-POLITICA,Política,RSS,https://www.naciodigital.cat/rss/politica/,NEWS RADAR (POLITICA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
NACIO-DIGITAL-001,NACIO-DIGITAL-001-SOCIEDAD,Sociedad,RSS,https://www.naciodigital.cat/rss/societat/,NEWS RADAR (SOCIEDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
NACIO-DIGITAL-001,NACIO-DIGITAL-001-TECNOLOGIA,Tecnología,RSS,https://www.naciodigital.cat/rss/tecnologia/,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LA-VERDAD-001,LA-VERDAD-001-SECCION-MURCIA,sección Murcia,RSS,https://www.laverdad.es/rss/atom/?section=murcia,NEWS RADAR (CARTAGENA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LA-VERDAD-001,LA-VERDAD-001-CARTAGENA-ATOM,Cartagena (atom),RSS,https://www.laverdad.es/rss/atom/?section=cartagena,NEWS RADAR (CARTAGENA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
20-MINUTOS-001,20-MINUTOS-001-ECONOMIA,Economía,RSS,https://www.20minutos.es/rss/economia/,NEWS RADAR (ECONOMIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
20-MINUTOS-001,20-MINUTOS-001-INTERNACIONAL,Internacional,RSS,https://www.20minutos.es/rss/internacional/,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
20-MINUTOS-001,20-MINUTOS-001-TECNOLOGIA,Tecnología,RSS,https://www.20minutos.es/rss/tecnologia/,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EXPANSION-001,EXPANSION-001-MERCADOS,Mercados,RSS,https://e00-expansion.uecdn.es/rss/mercados.xml,NEWS RADAR (ECONOMIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EXPANSION-001,EXPANSION-001-EMPRESAS,Empresas,RSS,https://e00-expansion.uecdn.es/rss/empresas.xml,NEWS RADAR (ECONOMIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BBC-NEWS-001,BBC-NEWS-001-WORLD-INGLES,World (inglés),RSS,https://feeds.bbci.co.uk/news/world/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BBC-NEWS-001,BBC-NEWS-001-TOP-STORIES,Top Stories,RSS,https://feeds.bbci.co.uk/news/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BBC-NEWS-001,BBC-NEWS-001-HEALTH,Health,RSS,https://feeds.bbci.co.uk/news/health/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BBC-NEWS-001,BBC-NEWS-001-BUSINESS,Business,RSS,https://feeds.bbci.co.uk/news/business/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BBC-NEWS-001,BBC-NEWS-001-UK,UK,RSS,https://feeds.bbci.co.uk/news/uk/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BBC-NEWS-001,BBC-NEWS-001-POLITICS,Politics,RSS,https://feeds.bbci.co.uk/news/politics/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BBC-NEWS-001,BBC-NEWS-001-TECHNOLOGY,Technology,RSS,https://feeds.bbci.co.uk/news/technology/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BBC-NEWS-001,BBC-NEWS-001-SCIENCE,Science,RSS,https://feeds.bbci.co.uk/news/science_and_environment/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BBC-MUNDO-001,BBC-MUNDO-001-ESPANOL,(español),RSS,https://feeds.bbci.co.uk/mundo/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EURONEWS-ESPANOL-001,EURONEWS-ESPANOL-001-RSS,RSS,RSS,https://www.euronews.com/rss?lang=es,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EURONEWS-ENGLISH-001,EURONEWS-ENGLISH-001-RSS,RSS,RSS,https://www.euronews.com/rss,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
RT-ENGLISH-001,RT-ENGLISH-001-RSS,RSS,RSS,https://www.rt.com/rss/,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EURONEWS-001,EURONEWS-001-WORLD,World,RSS,https://www.euronews.com/rss?lang=en,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
RT-001,RT-001-NEWS,News,RSS,https://www.rt.com/rss/news/,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
AL-JAZEERA-001,AL-JAZEERA-001-RSS,RSS,RSS,https://www.aljazeera.com/xml/rss/all.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LE-MONDE-001,LE-MONDE-001-FRANCES,(francés),RSS,https://www.lemonde.fr/rss/en_continu.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LE-MONDE-001,LE-MONDE-001-INTERNATIONAL,International,RSS,https://www.lemonde.fr/international/rss_full.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LE-MONDE-001,LE-MONDE-001-POLITICS,Politics,RSS,https://www.lemonde.fr/politique/rss_full.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LE-MONDE-001,LE-MONDE-001-SCIENCE,Science,RSS,https://www.lemonde.fr/sciences/rss_full.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LE-MONDE-001,LE-MONDE-001-TECHNOLOGY,Technology,RSS,https://www.lemonde.fr/pixels/rss_full.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LE-MONDE-001,LE-MONDE-001-CULTURE,Culture,RSS,https://www.lemonde.fr/culture/rss_full.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
LE-MONDE-001,LE-MONDE-001-ECONOMY,Economy,RSS,https://www.lemonde.fr/economie/rss_full.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
THE-GUARDIAN-001,THE-GUARDIAN-001-POLITICS,Politics,RSS,https://www.theguardian.com/politics/rss,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
THE-GUARDIAN-001,THE-GUARDIAN-001-WORLD,World,RSS,https://www.theguardian.com/world/rss,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
THE-GUARDIAN-001,THE-GUARDIAN-001-TECHNOLOGY,Technology,RSS,https://www.theguardian.com/technology/rss,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
THE-GUARDIAN-001,THE-GUARDIAN-001-BUSINESS,Business,RSS,https://www.theguardian.com/business/rss,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
THE-NEW-YORK-TIMES-001,THE-NEW-YORK-TIMES-001-WORLD,World,RSS,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
THE-NEW-YORK-TIMES-001,THE-NEW-YORK-TIMES-001-POLITICS,Politics,RSS,https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
THE-NEW-YORK-TIMES-001,THE-NEW-YORK-TIMES-001-BUSINESS,Business,RSS,https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
THE-NEW-YORK-TIMES-001,THE-NEW-YORK-TIMES-001-TECHNOLOGY,Technology,RSS,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
ABC-NEWS-AUSTRALIA-001,ABC-NEWS-AUSTRALIA-001-RSS,RSS,RSS,https://www.abc.net.au/news/feed/51120/rss.xml,NEWS RADAR (MUNDO),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
BNG-001,BNG-001-RSS,RSS,RSS,https://www.bng.gal/rss/,NEWS RADAR (POLITICA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
JUNTS-001,JUNTS-001-RSS,RSS,RSS,https://www.junts.cat/rss/,NEWS RADAR (POLITICA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
COALICION-CANARIA-001,COALICION-CANARIA-001-RSS,RSS,RSS,https://www.coalicioncanaria.org/rss/,NEWS RADAR (POLITICA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EFEVERDE-001,EFEVERDE-001-MEDIO-AMBIENTE,(medio ambiente),RSS,https://efeverde.com/feed/,NEWS RADAR (SOCIEDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
SOMAMFYC-001,SOMAMFYC-001-RSS,RSS,RSS,https://www.somamfyc.com/feed/,NEWS RADAR (SOCIEDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
UNIVERSIDAD-PABLO-DE-OLAVIDE-001,UNIVERSIDAD-PABLO-DE-OLAVIDE-001-RSS,RSS,RSS,https://www.upo.es/diario/feed/,NEWS RADAR (SOCIEDAD),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
REDES-TELECOM-001,REDES-TELECOM-001-RSS,RSS,RSS,https://www.redestelecom.es/feed,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
MADRIMASD-001,MADRIMASD-001-RSS,RSS,RSS,https://www.madrimasd.org/blogs/feed,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
EURIBOR-001,EURIBOR-001-TECNOLOGIA,Tecnología,RSS,https://www.euribor.com.es/tecnologia/feed/,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
NOVATICA-001,NOVATICA-001-RSS,RSS,RSS,https://www.novatica.es/feed/,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
DIRECTORTIC-001,DIRECTORTIC-001-RSS,RSS,RSS,https://directortic.es/feed/,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
REVISTA-CIBERSEGURIDAD-001,REVISTA-CIBERSEGURIDAD-001-RSS,RSS,RSS,https://www.revistaciberseguridad.com/feed,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
ONE-CYBER-001,ONE-CYBER-001-RSS,RSS,RSS,https://onecyber.es/blog/feed,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
SOLVENTIA-001,SOLVENTIA-001-RSS,RSS,RSS,https://solventia-solutions.es/feed,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
WIRED-001,WIRED-001-RSS,RSS,RSS,https://www.wired.com/feed/rss,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
ARS-TECHNICA-001,ARS-TECHNICA-001-RSS,RSS,RSS,https://feeds.arstechnica.com/arstechnica/index,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
ARS-TECHNICA-001,ARS-TECHNICA-001-SCIENCE,Science,RSS,https://feeds.arstechnica.com/arstechnica/science,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
THE-VERGE-001,THE-VERGE-001-RSS,RSS,RSS,https://www.theverge.com/rss/index.xml,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
IEEE-SPECTRUM-001,IEEE-SPECTRUM-001-RSS,RSS,RSS,https://spectrum.ieee.org/feeds/,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
SCIENCE-DAILY-001,SCIENCE-DAILY-001-TECHNOLOGY,Technology,RSS,https://www.sciencedaily.com/rss/top/technology.xml,NEWS RADAR (TECNOLOGIA),DISCOVERY,VERIFIED,XML de RSS/Atom confirmado en el cuerpo
