source_id,source_name,institution,source_type,source_nature,authority_level,editorial_role,radar,channel_type,channel_status,source_verified,channel_verified,endpoint_verified,primary_evidence_available,supports_claims,supports_events,supports_data,limitations
THE-NEW-YORK-TIMES-001,The New York Times,The New York Times,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
ABC-NEWS-AUSTRALIA-001,ABC News (Australia),ABC News (Australia),OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
BNG-001,BNG,BNG,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (POLITICA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
JUNTS-001,Junts,Junts,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (POLITICA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
COALICION-CANARIA-001,Coalición Canaria,Coalición Canaria,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (POLITICA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EFEVERDE-001,EFEverde,EFEverde,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (SOCIEDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
SOMAMFYC-001,SOMAMFYC,SOMAMFYC,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (SOCIEDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
UNIVERSIDAD-PABLO-DE-OLAVIDE-001,Universidad Pablo de Olavide,Universidad Pablo de Olavide,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (SOCIEDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
REDES-TELECOM-001,Redes Telecom,Redes Telecom,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
MADRIMASD-001,Madrimasd,Madrimasd,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EURIBOR-001,Euribor,Euribor,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
NOVATICA-001,Novática,Novática,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
DIRECTORTIC-001,DirectorTIC,DirectorTIC,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
REVISTA-CIBERSEGURIDAD-001,Revista Ciberseguridad,Revista Ciberseguridad,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
ONE-CYBER-001,One Cyber,One Cyber,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
SOLVENTIA-001,Solventia,Solventia,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
WIRED-001,Wired,Wired,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
ARS-TECHNICA-001,Ars Technica,Ars Technica,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
THE-VERGE-001,The Verge,The Verge,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
IEEE-SPECTRUM-001,IEEE Spectrum,IEEE Spectrum,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
SCIENCE-DAILY-001,Science Daily,Science Daily,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (TECNOLOGIA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
